# Spanish accent dictionary — words that ALWAYS need an accent mark
# Format: wrong|correct (one per line)
# Only words where the unaccented form is ALWAYS incorrect in any context
# (no ambiguous cases like mas/más, como/cómo, que/qué, si/sí)
accion|acción
actualizacion|actualización
adaptacion|adaptación
ademas|además
administracion|administración
algun|algún
analisis|análisis
aplicacion|aplicación
aqui|aquí
asi|así
atencion|atención
autenticacion|autenticación
automaticamente|automáticamente
busqueda|búsqueda
calculo|cálculo
catalogo|catálogo
codigo|código
comunicacion|comunicación
conexion|conexión
configuracion|configuración
construccion|construcción
conversacion|conversación
creacion|creación
credito|crédito
decision|decisión
despues|después
deteccion|detección
diagnostico|diagnóstico
digestion|digestión
direccion|dirección
documentacion|documentación
ejecucion|ejecución
especifico|específico
especifica|específica
estadisticas|estadísticas
evaluacion|evaluación
extencion|extensión
extension|extensión
facturacion|facturación
generacion|generación
gestion|gestión
historico|histórico
historica|histórica
implementacion|implementación
informacion|información
informatica|informática
instalacion|instalación
integracion|integración
limitacion|limitación
linea|línea
logica|lógica
matematica|matemática
metrica|métrica
metricas|métricas
migracion|migración
modulo|módulo
notificacion|notificación
numero|número
operacion|operación
optimizacion|optimización
organizacion|organización
pagina|página
parametro|parámetro
perdida|pérdida
politica|política
posicion|posición
presentacion|presentación
produccion|producción
proposito|propósito
proteccion|protección
razon|razón
recopilacion|recopilación
regresion|regresión
relacion|relación
resolucion|resolución
semantica|semántica
semantico|semántico
sesion|sesión
tambien|también
tecnica|técnica
tecnico|técnico
telemetria|telemetría
unico|único
unica|única
utiles|útiles
validacion|validación
verificacion|verificación
version|versión
